Date,Hop Number,IP Address,AS Number,Latency 1,Latency 2,Latency 3,URL
11-22-23,1,172.25.192.1,NA,0.388,0.355,0.339,github.com
11-22-23,2,10.0.0.1,NA,8.513,9.193,9.420,github.com
11-22-23,3,96.120.62.169,7922,24.065,24.051,23.976,github.com
11-22-23,4,96.110.215.125,7922,23.957,23.912,23.853,github.com
11-22-23,5,162.151.152.210,7922,23.742,23.720,23.723,github.com
11-22-23,6,96.110.120.93,7922,23.650,21.015,14.995,github.com
11-22-23,7,162.151.65.5,7922,21.100,14.065,23.894,github.com
11-22-23,8,96.110.42.161,7922,27.809,27.790,32.250,github.com
11-22-23,9,96.110.38.134,7922,27.772,27.758,27.742,github.com
11-22-23,10,96.110.32.101,7922,37.429,37.435,36.702,github.com
11-22-23,11,68.86.84.149,7922,38.892,38.872,45.313,github.com
11-22-23,12,96.110.32.130,7922,38.835,45.258,44.726,github.com
11-22-23,13,50.248.119.26,7922,28.674,28.325,28.298,github.com
11-22-23,14,98.124.190.162,3257,32.660,32.643,32.629,github.com
11-22-23,1,172.25.192.1,NA,0.652,0.620,0.605,github.com
11-22-23,2,10.0.0.1,NA,18.341,18.325,18.310,github.com
11-22-23,3,96.120.62.169,7922,27.885,24.664,27.856,github.com
11-22-23,4,96.110.215.137,7922,29.925,29.910,29.896,github.com
11-22-23,5,96.110.120.93,7922,29.924,29.910,29.896,github.com
11-22-23,6,162.151.65.5,7922,31.786,28.529,30.481,github.com
11-22-23,7,96.110.42.173,7922,28.487,19.432,13.347,github.com
11-22-23,8,96.110.38.142,7922,19.320,26.304,,github.com
11-22-23,9,96.110.39.149,7922,30.919,30.904,30.891,github.com
11-22-23,10,68.86.84.149,7922,33.833,33.919,33.804,github.com
11-22-23,11,96.110.32.126,7922,33.791,33.887,33.862,github.com
11-22-23,12,50.248.119.26,7922,46.782,30.779,48.342,github.com
11-22-23,13,98.124.190.162,3257,31.401,28.960,31.269,github.com
11-22-23,1,172.25.192.1,NA,0.985,0.955,0.939,github.com
11-22-23,2,10.0.0.1,NA,9.056,7.666,9.025,github.com
11-22-23,3,96.120.62.169,7922,24.422,24.409,24.394,github.com
11-22-23,4,96.110.215.137,7922,16.682,22.303,22.289,github.com
11-22-23,5,96.110.120.93,7922,22.275,22.261,22.247,github.com
11-22-23,6,162.151.65.5,7922,24.296,22.919,21.030,github.com
11-22-23,7,96.110.42.169,7922,21.014,21.657,22.700,github.com
11-22-23,8,96.110.38.134,7922,18.933,15.064,19.336,github.com
11-22-23,9,96.110.39.145,7922,23.825,23.778,23.764,github.com
11-22-23,10,68.86.84.157,7922,29.519,29.503,29.489,github.com
11-22-23,11,96.110.32.126,7922,26.166,26.152,26.133,github.com
11-22-23,12,50.248.119.26,7922,29.432,29.418,29.404,github.com
11-22-23,13,98.124.190.162,3257,27.036,27.008,22.176,github.com
11-22-23,1,172.25.192.1,NA,1.240,1.207,1.191,github.com
11-22-23,2,10.0.0.1,NA,12.262,12.246,12.233,github.com
11-22-23,3,96.120.62.169,7922,22.315,22.301,21.058,github.com
11-22-23,4,96.110.215.137,7922,21.137,15.110,21.108,github.com
11-22-23,5,96.110.120.93,7922,21.001,20.987,20.974,github.com
11-22-23,6,162.151.65.5,7922,22.241,18.768,18.738,github.com
11-22-23,7,96.110.42.165,7922,18.722,22.264,22.240,github.com
11-22-23,8,96.110.38.138,7922,22.228,21.531,21.504,github.com
11-22-23,9,96.110.39.165,7922,25.910,25.896,25.894,github.com
11-22-23,10,68.86.84.145,7922,25.880,31.147,31.133,github.com
11-22-23,11,96.110.32.122,7922,31.120,31.105,31.092,github.com
11-22-23,12,50.248.119.26,7922,55.401,55.381,50.603,github.com
11-22-23,13,98.124.190.162,3257,50.334,50.314,28.996,github.com
11-22-23,1,172.25.192.1,NA,0.934,0.903,0.863,github.com
11-22-23,2,10.0.0.1,NA,19.343,19.327,19.313,github.com
11-22-23,3,96.120.62.169,7922,28.547,20.205,20.190,github.com
11-22-23,4,96.110.215.137,7922,21.693,21.678,28.516,github.com
11-22-23,5,96.110.120.93,7922,28.461,21.653,28.432,github.com
11-22-23,6,162.151.65.5,7922,28.457,20.276,20.247,github.com
11-22-23,7,96.110.42.169,7922,20.230,21.457,17.308,github.com
11-22-23,8,96.110.38.142,7922,25.126,25.098,,github.com
11-22-23,9,96.110.39.165,7922,31.443,31.302,31.416,github.com
11-22-23,10,68.86.84.145,7922,33.097,33.084,33.069,github.com
11-22-23,11,96.110.32.126,7922,33.053,33.053,33.039,github.com
11-22-23,12,50.248.119.26,7922,25.028,33.011,30.842,github.com
11-22-23,13,98.124.190.162,3257,30.786,25.631,35.941,github.com
11-22-23,1,172.25.192.1,NA,0.786,0.754,0.739,github.com
11-22-23,2,10.0.0.1,NA,11.763,11.747,11.733,github.com
11-22-23,3,96.120.62.169,7922,16.064,22.772,22.758,github.com
11-22-23,4,96.110.215.137,7922,22.787,28.835,28.817,github.com
11-22-23,5,96.110.120.93,7922,28.802,28.787,28.774,github.com
11-22-23,6,162.151.65.5,7922,28.760,26.212,26.184,github.com
11-22-23,7,96.110.42.165,7922,26.170,21.598,21.540,github.com
11-22-23,8,96.110.38.130,7922,24.225,24.198,,github.com
11-22-23,9,96.110.32.101,7922,28.462,28.447,28.432,github.com
11-22-23,10,68.86.84.153,7922,32.186,32.172,32.158,github.com
11-22-23,11,96.110.32.122,7922,24.098,32.130,32.133,github.com
11-22-23,12,50.248.119.26,7922,38.906,38.892,35.302,github.com
11-22-23,13,98.124.190.162,3257,28.452,23.173,44.227,github.com
11-22-23,1,172.25.192.1,NA,0.997,0.943,0.930,github.com
11-22-23,2,10.0.0.1,NA,8.447,8.436,8.427,github.com
11-22-23,3,96.120.62.169,7922,18.944,18.935,14.119,github.com
11-22-23,4,96.110.215.137,7922,18.916,18.908,18.898,github.com
11-22-23,5,96.110.120.93,7922,14.083,18.985,18.976,github.com
11-22-23,6,162.151.65.5,7922,22.233,27.704,27.674,github.com
11-22-23,7,96.110.42.165,7922,27.659,23.609,18.211,github.com
11-22-23,8,96.110.38.130,7922,23.565,21.750,25.494,github.com
11-22-23,9,96.110.32.101,7922,29.977,29.981,29.972,github.com
11-22-23,10,68.86.84.153,7922,35.183,35.174,35.164,github.com
11-22-23,11,96.110.32.130,7922,32.781,32.771,32.762,github.com
11-22-23,12,50.248.119.26,7922,32.753,32.744,29.337,github.com
11-22-23,13,98.124.190.162,3257,43.514,43.502,25.841,github.com
11-22-23,1,172.25.192.1,NA,0.871,0.847,0.837,github.com
11-22-23,2,10.0.0.1,NA,32.714,32.702,32.693,github.com
11-22-23,3,96.120.62.169,7922,51.406,51.164,51.152,github.com
11-22-23,4,96.110.215.137,7922,50.898,50.890,50.880,github.com
11-22-23,5,96.110.120.93,7922,50.989,35.004,50.968,github.com
11-22-23,6,162.151.65.5,7922,51.071,48.498,48.379,github.com
11-22-23,7,96.110.42.169,7922,48.127,29.219,29.187,github.com
11-22-23,8,96.110.38.134,7922,24.252,32.764,32.641,github.com
11-22-23,9,96.110.39.145,7922,32.598,32.559,32.521,github.com
11-22-23,10,68.86.84.149,7922,42.672,42.633,42.597,github.com
11-22-23,11,96.110.32.130,7922,42.523,42.521,36.208,github.com
11-22-23,12,50.248.119.26,7922,36.212,36.175,34.492,github.com
11-22-23,13,98.124.190.162,3257,34.367,34.324,57.838,github.com
11-22-23,1,172.25.192.1,NA,1.142,1.110,1.093,github.com
11-22-23,2,10.0.0.1,NA,9.548,9.533,9.518,github.com
11-22-23,3,96.120.62.169,7922,21.930,21.915,21.902,github.com
11-22-23,4,96.110.215.137,7922,16.454,20.514,20.501,github.com
11-22-23,5,96.110.120.93,7922,20.446,20.432,20.359,github.com
11-22-23,6,162.151.65.5,7922,23.851,20.302,20.274,github.com
11-22-23,7,96.110.42.173,7922,18.184,18.345,27.376,github.com
11-22-23,8,96.110.38.134,7922,20.942,,,github.com
11-22-23,9,96.110.32.101,7922,25.659,20.992,25.639,github.com
11-22-23,10,68.86.84.157,7922,31.073,31.064,31.053,github.com
11-22-23,11,96.110.32.134,7922,29.546,29.535,29.526,github.com
11-22-23,12,50.248.119.26,7922,29.516,29.507,27.333,github.com
11-22-23,13,98.124.190.162,3257,28.812,28.405,26.921,github.com
11-22-23,1,172.25.192.1,NA,0.932,1.027,1.009,github.com
11-22-23,2,10.0.0.1,NA,9.059,9.044,9.029,github.com
11-22-23,3,96.120.62.169,7922,21.021,24.862,20.991,github.com
11-22-23,4,96.110.215.125,7922,24.834,24.820,24.808,github.com
11-22-23,5,162.151.152.210,7922,24.822,24.986,24.765,github.com
11-22-23,6,96.110.120.93,7922,25.052,17.692,21.777,github.com
11-22-23,7,162.151.65.5,7922,21.669,27.680,27.651,github.com
11-22-23,8,96.110.42.173,7922,19.271,19.657,26.197,github.com
11-22-23,9,96.110.38.142,7922,26.140,26.124,26.109,github.com
11-22-23,10,96.110.32.101,7922,30.659,30.643,30.593,github.com
11-22-23,11,68.86.84.157,7922,37.329,37.315,37.300,github.com
11-22-23,12,96.110.32.130,7922,37.284,33.831,31.340,github.com
11-22-23,13,50.248.119.26,7922,34.775,34.760,25.430,github.com
11-22-23,14,98.124.190.162,3257,28.139,28.112,33.070,github.com
11-22-23,1,172.25.192.1,NA,0.580,0.610,0.532,github.com
11-22-23,2,10.0.0.1,NA,14.853,14.838,14.824,github.com
11-22-23,3,96.120.62.169,7922,21.092,18.586,21.064,github.com
11-22-23,4,96.110.215.137,7922,22.830,22.816,22.802,github.com
11-22-23,5,96.110.120.93,7922,22.788,22.775,22.760,github.com
11-22-23,6,162.151.65.5,7922,24.696,21.674,21.649,github.com
11-22-23,7,96.110.42.161,7922,19.685,22.316,18.101,github.com
11-22-23,8,96.110.38.142,7922,22.231,22.911,,github.com
11-22-23,9,96.110.39.149,7922,22.884,28.100,28.073,github.com
11-22-23,10,68.86.84.157,7922,31.484,31.455,31.428,github.com
11-22-23,11,96.110.32.122,7922,30.518,30.494,30.478,github.com
11-22-23,12,50.248.119.26,7922,30.464,30.450,32.025,github.com
11-22-23,13,98.124.190.162,3257,31.945,31.927,27.238,github.com
11-22-23,1,172.25.192.1,NA,1.113,1.083,1.067,github.com
11-22-23,2,10.0.0.1,NA,8.814,8.799,8.783,github.com
11-22-23,3,96.120.62.169,7922,26.022,26.007,25.994,github.com
11-22-23,4,96.110.215.125,7922,25.980,25.966,25.952,github.com
11-22-23,5,162.151.152.210,7922,25.937,25.924,26.103,github.com
11-22-23,6,96.110.120.93,7922,25.944,22.216,22.189,github.com
11-22-23,7,162.151.65.5,7922,22.321,18.484,21.890,github.com
11-22-23,8,96.110.42.169,7922,21.873,22.795,22.769,github.com
11-22-23,9,96.110.38.138,7922,22.813,22.798,,github.com
11-22-23,10,96.110.39.149,7922,27.133,27.120,22.741,github.com
11-22-23,11,68.86.84.149,7922,35.225,35.211,35.197,github.com
11-22-23,12,96.110.32.130,7922,31.430,31.417,28.346,github.com
11-22-23,13,50.248.119.26,7922,28.320,28.307,36.456,github.com
11-22-23,14,98.124.190.162,3257,36.612,36.598,36.585,github.com
11-22-23,1,172.25.192.1,NA,1.091,1.060,1.045,github.com
11-22-23,2,10.0.0.1,NA,14.563,14.538,14.525,github.com
11-22-23,3,96.120.62.169,7922,20.381,26.511,26.498,github.com
11-22-23,4,96.110.215.125,7922,27.822,27.808,27.794,github.com
11-22-23,5,162.151.152.210,7922,27.780,27.766,27.751,github.com
11-22-23,6,96.110.120.93,7922,27.692,24.170,24.129,github.com
11-22-23,7,162.151.65.5,7922,24.108,20.157,20.127,github.com
11-22-23,8,96.110.42.173,7922,16.978,24.202,24.182,github.com
11-22-23,9,96.110.38.142,7922,18.176,24.165,,github.com
11-22-23,10,96.110.39.165,7922,29.399,29.371,29.381,github.com
11-22-23,11,68.86.84.149,7922,30.896,32.537,32.528,github.com
11-22-23,12,96.110.32.126,7922,30.866,30.846,28.563,github.com
11-22-23,13,50.248.119.26,7922,28.546,28.536,29.483,github.com
11-22-23,14,98.124.190.162,3257,25.966,25.946,31.871,github.com
11-22-23,1,172.25.192.1,NA,0.675,0.642,0.626,github.com
11-22-23,2,10.0.0.1,NA,8.539,8.523,8.509,github.com
11-22-23,3,96.120.62.169,7922,18.699,16.114,16.100,github.com
11-22-23,4,96.110.215.125,7922,18.658,18.644,18.630,github.com
11-22-23,5,162.151.152.210,7922,18.616,18.601,18.273,github.com
11-22-23,6,96.110.120.93,7922,18.289,15.212,21.549,github.com
11-22-23,7,162.151.65.5,7922,22.771,29.165,30.602,github.com
11-22-23,8,96.110.42.161,7922,30.585,22.189,22.163,github.com
11-22-23,9,96.110.38.142,7922,22.148,22.134,22.120,github.com
11-22-23,10,96.110.39.145,7922,22.105,22.089,28.968,github.com
11-22-23,11,68.86.84.149,7922,32.751,32.737,32.723,github.com
11-22-23,12,96.110.32.126,7922,30.785,30.888,27.980,github.com
11-22-23,13,50.248.119.26,7922,29.738,29.720,45.517,github.com
11-22-23,14,98.124.190.162,3257,45.494,26.846,45.435,github.com
11-22-23,1,172.25.192.1,NA,0.856,0.828,0.814,github.com
11-22-23,2,10.0.0.1,NA,7.918,7.879,7.860,github.com
11-22-23,3,96.120.62.169,7922,27.419,27.402,27.386,github.com
11-22-23,4,96.110.215.125,7922,27.371,27.355,28.292,github.com
11-22-23,5,162.151.152.210,7922,28.276,27.307,27.630,github.com
11-22-23,6,96.110.120.93,7922,26.615,25.173,25.145,github.com
11-22-23,7,162.151.65.5,7922,25.210,26.917,26.859,github.com
11-22-23,8,96.110.42.169,7922,26.835,22.976,22.950,github.com
11-22-23,9,96.110.38.134,7922,22.980,22.951,,github.com
11-22-23,10,96.110.39.165,7922,27.661,27.647,27.641,github.com
11-22-23,11,68.86.84.157,7922,32.731,32.717,32.702,github.com
11-22-23,12,96.110.32.122,7922,30.710,32.675,27.835,github.com
11-22-23,13,50.248.119.26,7922,27.775,27.762,33.856,github.com
11-22-23,14,98.124.190.162,3257,28.771,33.814,33.751,github.com
11-22-23,1,172.25.192.1,NA,0.467,0.443,0.432,github.com
11-22-23,2,10.0.0.1,NA,7.065,8.016,10.492,github.com
11-22-23,3,96.120.62.169,7922,24.219,24.210,24.200,github.com
11-22-23,4,96.110.215.125,7922,24.190,24.180,24.171,github.com
11-22-23,5,162.151.152.210,7922,24.287,24.278,24.122,github.com
11-22-23,6,96.110.120.93,7922,24.341,19.774,19.857,github.com
11-22-23,7,162.151.65.5,7922,19.966,23.806,16.368,github.com
11-22-23,8,96.110.42.161,7922,28.249,28.236,28.224,github.com
11-22-23,10,96.110.32.101,7922,30.132,30.116,30.104,github.com
11-22-23,11,68.86.84.157,7922,35.979,35.968,35.955,github.com
11-22-23,12,96.110.32.130,7922,32.722,32.744,31.927,github.com
11-22-23,13,50.248.119.26,7922,35.362,39.181,39.160,github.com
11-22-23,14,98.124.190.162,3257,44.615,44.574,44.565,github.com
11-22-23,1,172.25.192.1,NA,1.078,1.045,1.030,github.com
11-22-23,2,10.0.0.1,NA,7.276,9.151,7.246,github.com
11-22-23,3,96.120.62.169,7922,21.627,21.613,16.075,github.com
11-22-23,4,96.110.215.125,7922,23.227,23.214,23.200,github.com
